,train_acc,val_acc,train_loss,val_loss
0,0.7551652892561983,0.7545540201005025,1.0500174382958751,1.1166570576032002
1,0.7787603305785123,0.7473304020100503,0.881910511092616,1.015919220050176
2,0.7852479338842975,0.7774811557788944,0.8480973625540138,0.96141748269399
3,0.805495867768595,0.7748115577889447,0.7241795144838818,0.9249202092488606
4,0.8226859504132231,0.7768530150753769,0.6491097018444995,0.9401338346799216
5,0.8410330578512397,0.7869032663316583,0.565572389771855,0.9430236361424128
6,0.8655371900826446,0.7831344221105527,0.4632916326406791,0.981573780576388
7,0.8876446280991735,0.7914572864321608,0.3921995908269866,0.894318363070488
8,0.9144628099173554,0.7834484924623115,0.2852524805460714,1.1277177774906157
9,0.9338842975206612,0.7847047738693468,0.21227667034726075,1.2591642077763876
10,0.9463223140495868,0.7913002512562815,0.17380508927073635,1.309384910662969
11,0.9580578512396695,0.7815640703517588,0.13367721988910966,1.4420244687795638
12,0.9598347107438017,0.7905150753768844,0.12866042999739755,1.5329188611110052
13,0.9668181818181818,0.7828203517587939,0.10824543815849971,1.516573303937912
14,0.9691735537190083,0.7799937185929648,0.0995132741971583,1.7489820325374603
