,train_acc,val_acc,train_loss,val_loss
0,0.7551652892561983,0.7545540201005025,1.0500174382958751,1.1166570576032002
1,0.7787603305785123,0.7473304020100503,0.881910511092616,1.015919220050176
2,0.7852479338842975,0.7774811557788944,0.8480973625540138,0.96141748269399
3,0.805495867768595,0.7748115577889447,0.7241795144838818,0.9249202092488606
4,0.8226859504132231,0.7768530150753769,0.6491097018444995,0.9401338346799216
5,0.8410330578512397,0.7869032663316583,0.565572389771855,0.9430236361424128
6,0.8655371900826446,0.7831344221105527,0.4632916326406791,0.981573780576388
7,0.8876446280991735,0.7914572864321608,0.3921995908269866,0.894318363070488
8,0.9129338842975206,0.7865891959798995,0.28042372282340305,1.3169621459643046
9,0.937107438016529,0.7829773869346733,0.2087586942948587,1.411327629884084
10,0.9471900826446281,0.7807788944723618,0.17250515244352616,1.332736889521281
11,0.9588429752066115,0.7889447236180904,0.12937065116796154,1.3885529963175456
12,0.9642148760330579,0.7759108040201005,0.11758754205945786,1.571657857497533
13,0.9625619834710744,0.7730841708542714,0.11867259668818553,1.4302107739448546
14,0.9669834710743802,0.7839195979899497,0.10635814210593689,1.7040692110856375
15,0.9750826446280991,0.7798366834170855,0.08245514078025463,1.5894182443867126
